Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2007,Nigeria,South West,Coffee,22.8,1187.91,0.77,3.94,3,25.18,2.55,86.38,47.58,Drought-resistant Crops,457.17,0.5709795465857378,7.080792199965471,6.127240294283588,3.2199786911005783,0.17280701754385963,0.02115904163352161,10.988803646144989,519.84,2263.8563999999997,0.14547147304413602,4.431302517100311,0.5078369905956113,Moderate,Wet,Moderate-Wet,7,26,1,1,4,5,29,0
1999,USA,West,Rice,0.09,2285.87,10.05,1.65,6,25.33,28.39,32.24,59.37,Water Management,189.45,2.402430427963762,7.734939349381357,5.249389692924613,0.011635514634927062,4.071044117647071,6.390798667365405,2.185032969872039,0.0324,3524.7969,3.8187600637369914,0.6868044879861505,0.9796696315120712,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,31,5,4,5,1,31,2
1990,Australia,New South Wales,Cotton,9.85,2662.45,5.06,2.77,1,12.39,37.31,16.46,60.0,Water Management,1329.37,1.801709800081223,7.887377553888755,7.193212378015332,1.2488307973977488,0.28121827411167516,0.18291470051586023,3.9924367274302743,97.0225,3600.0,0.10562387053716507,1.537428502567464,0.17142857142857143,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,7,3,4,5,1,31,0
2023,Nigeria,North West,Corn,9.69,958.81,7.93,1.92,7,98.93020000000001,24.29,41.46,97.48,Crop Rotation,804.99,2.189416394888408,6.866735348207127,6.692071335481771,1.4111509339776744,0.19814241486068113,0.2259459643847686,3.0565548659933452,93.89609999999999,9502.350400000001,0.20665451430489995,0.8769460229139557,1.1288943188759926,Very Cold,Moderate,Very Cold-Moderate,7,10,2,0,5,2,32,0
2023,Australia,New South Wales,Soybeans,0.14,2866.97,13.3,1.53,10,19.57,20.81,20.75,90.88,Crop Rotation,492.45,2.6602595372658615,7.961359741413756,6.2014215366180165,0.01758493580835718,4.071044117647071,6.390798667365405,2.3311340302501686,0.0324,8259.1744,3.811889007757817,0.5751318540793543,1.7142857142857144,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,7,6,0,5,1,31,2
2006,Brazil,Northeast,Sugarcane,19.08,2667.53,0.82,3.45,8,37.44,39.42,86.98,88.69,Crop Rotation,1456.99,0.598836501088704,7.889283037981745,7.28481405383452,2.4184707163049244,0.1808176100628931,0.03138556085370566,10.988803646144989,364.04639999999995,7865.9160999999995,0.06778465849039864,4.431302517100311,1.3161233865674908,Mild,Extremely Wet,Mild-Extremely Wet,2,11,7,0,3,1,19,0
1996,Russia,Central,Cotton,-4.56,1884.81,18.87,0.99,7,15.99,24.71,12.49,47.72,Water Management,409.3,2.9892110565637253,7.542112715806784,6.016888599448141,-0.6280207813814291,-0.2066805845511482,-0.624052412643784,2.012868441067828,22.9441,2277.1983999999998,-0.1096559252928137,0.33119106723031577,1.1498061332393374,Very Cold,Extremely Wet,Very Cold-Extremely Wet,8,1,3,4,5,1,31,0
1999,China,Central,Fruits,14.69,1710.99,3.51,3.16,2,23.98,40.41,91.16,59.93,Crop Rotation,414.0,1.5062971535145868,7.445411715563132,6.028278520230698,1.9730272228322197,0.21511232130701158,0.10253894850337555,4.002051325772701,215.7961,3591.6049,0.12572389161071168,2.097859637208296,0.3285160380683821,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,1,4,0,5,1,31,0
1992,Australia,Queensland,Vegetables,8.26,1720.82,27.61,2.547,1,41.41,30.43,21.16,39.47,Drought-resistant Crops,378.53,3.3537563070620187,7.45113714990735,5.9389336450946875,1.1085556249763444,0.3083535108958838,0.4060237659881379,1.7708304066664147,68.2276,1557.8808999999999,0.17918986930410144,0.7594469504646988,0.16449934980494146,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,22,8,1,5,1,31,0
2011,Australia,Queensland,Rice,17.63,987.45,7.25,2.72,1,54.5,3.02,94.95,45.72,Crop Rotation,897.23,2.1102132003465894,6.896138059641946,6.800426160229466,2.556503342526667,0.15428247305728873,0.11969445265720871,3.22262516370978,310.8169,2090.3184,0.1562433268087384,1.288969284977109,0.16449934980494146,Cool,Moderate,Cool-Moderate,1,22,5,0,1,2,8,0
2017,Argentina,Patagonia,Vegetables,6.85,496.49,20.49,2.601,5,71.87,47.21,89.96,69.58,Crop Rotation,1172.71,3.067587710654419,6.209575455894117,7.067924951134535,1.1031349966925665,0.3797080291970803,0.44782302345319985,2.304066132024864,46.92249999999999,4841.3764,0.7647848480273123,0.8478975160078209,0.7800751879699248,Very Cold,Very Dry,Very Cold-Very Dry,0,17,8,0,5,3,33,0
2013,Canada,British Columbia,Vegetables,17.97,2754.93,18.02,1.431,10,39.96,23.45,48.1,52.4,No Adaptation,518.8,2.9454910571172443,7.921510232681813,6.25344412220739,2.268506821573124,0.07963272120200335,0.16391157802544487,2.1230565637254535,322.92089999999996,2745.7599999999998,0.02890553342625887,0.485827311049629,1.6724257083621286,Cool,Extremely Wet,Cool-Extremely Wet,3,0,8,2,1,1,7,0
2022,Australia,Western Australia,Cotton,-3.87,329.5,20.07,1.62,10,75.81,36.23,61.9,69.31,Water Management,178.66,3.0478502278160975,5.800606659291741,5.19106617580106,-0.6280207813814291,-0.4186046511627907,-0.7875581984020924,1.703189391796545,14.9769,4803.8761,-1.270423827504676,0.5315221808523029,1.621223286661754,Very Cold,Very Dry,Very Cold-Very Dry,1,33,3,4,5,3,33,0
1997,Canada,Quebec,Wheat,24.6,1003.84,12.39,2.77,7,91.79,2.64,19.82,47.06,Water Management,1295.26,2.5945081597030812,6.912583603838778,7.167238474075214,3.558727302240343,0.11260162601626016,0.10546781137004395,2.7624651891229517,605.1600000000001,2214.6436000000003,0.11217088979943034,1.0676397334271641,1.1410347271438694,Warm,Moderate,Warm-Moderate,3,21,9,4,7,2,44,0
2017,China,North,Cotton,32.46,2139.61,20.29,3.5730000000000004,0,19.24,17.15,70.9,37.5,Crop Rotation,1183.36,3.058237478905388,7.668846114126769,7.076957823282939,4.232709786705133,0.11007393715341961,0.09421557236307418,2.314064186348256,1053.6516000000001,1406.25,0.05144579486608288,1.1683199962871613,0.0,Very Hot,Extremely Wet,Very Hot-Extremely Wet,4,8,3,0,6,1,37,0
2023,USA,Northeast,Soybeans,-4.56,576.57,13.59,1.86,9,38.58,14.29,61.34,63.49,No Adaptation,856.22,2.6803363625346943,6.358829647171565,6.753694595105122,-0.6280207813814291,-0.39743589743589747,-0.5727214449860458,2.519719050753169,21.902399999999997,4030.9801,-0.6893107470660934,0.6939427550955087,1.480638809888427,Very Cold,Dry,Very Cold-Dry,9,11,6,2,5,0,30,0
2005,Canada,British Columbia,Fruits,30.34,1673.86,23.01,0.792,0,59.36,3.43,29.52,72.39,Organic Farming,360.51,3.178470410233162,7.423484858676437,5.890289703733508,4.087029283091909,0.026104152933421228,0.10476171424631385,1.8531837467385504,920.5156,5240.3121,0.015595182950438645,0.24917645841538652,0.0,Very Hot,Very Wet,Very Hot-Very Wet,3,0,4,3,6,4,40,0
2002,France,Nouvelle-Aquitaine,Vegetables,23.88,2577.67,8.85,2.24,6,39.48,40.98,78.57,63.13,Water Management,311.75,2.2874714551839976,7.855029041121889,5.745404149347021,3.04009060628366,0.09380234505862647,0.09579026194237847,2.511683429459397,570.2543999999999,3985.3969,0.036390362249095684,0.9792471923195304,1.0053191489361701,Warm,Extremely Wet,Warm-Extremely Wet,5,14,8,4,7,1,43,0
2023,USA,South,Coffee,17.44,1489.01,10.09,4.63,6,26.14,33.74,27.91,61.62,Water Management,1599.17,2.4060438013622756,7.30653811032638,7.377865152583741,2.3869033099754766,0.2723623853211009,0.1379612271423323,3.066388545547872,304.15360000000004,3797.0244,0.18291508137695575,1.9741951486130893,1.0154882154882157,Cool,Very Wet,Cool-Very Wet,9,24,1,4,1,4,10,0
1995,China,Central,Rice,14.01,2273.93,28.71,1.899,8,52.2,2.52,30.06,40.08,Crop Rotation,359.05,3.391483689474516,7.729704561680899,5.886242910694876,1.8124884189562596,0.1355460385438972,0.24207592358847368,1.735595229003417,196.2801,1606.4063999999998,0.05960871202890908,0.5599319276968822,1.3140641522735284,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,1,5,0,5,1,31,0
1991,China,North,Rice,28.79,1474.39,27.2,3.33,3,41.71,26.64,22.22,33.03,Water Management,1507.2,3.339321977944068,7.296677640604269,7.318672165768547,3.9456313432007084,0.11566516151441474,0.11598895373199264,2.19166412047348,828.8641,1090.9809,0.07844950217677461,0.9972084219474376,0.49809885931558934,Very Hot,Very Wet,Very Hot-Very Wet,4,8,5,4,6,4,40,0
2006,Nigeria,South East,Wheat,-1.31,413.81,3.71,1.296,8,74.51,33.46,12.79,45.62,Water Management,383.8,1.5496879080283263,6.027820584068636,5.952723718791551,-0.21732564560104758,-0.9893129770992366,-1.1829678687239131,3.8412403477841055,1.7161000000000002,2081.1843999999996,-2.390742072688521,0.8362974204586171,1.2698412698412698,Very Cold,Very Dry,Very Cold-Very Dry,7,25,9,4,5,3,33,0
2016,France,Provence-Alpes-Cote d’Azur,Soybeans,27.11,2107.3,2.15,3.44,3,61.53,28.76,60.02,67.53,Crop Rotation,1084.96,1.1474024528375417,7.653637214525948,6.990219667403028,3.5421067448229113,0.12689044632976762,0.042323956209426104,6.09221258863106,734.9521,4560.3009,0.060214704280248464,2.998076212485718,0.5283582089552239,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,19,6,0,6,1,37,0
1994,Canada,Ontario,Barley,7.62,579.6,0.91,1.08,6,19.64,19.14,68.85,62.66,No Adaptation,491.57,0.6471032420585385,6.36406205159053,6.1996365824920465,1.1973484762134872,0.14173228346456693,0.08492168530951949,9.580598858954893,58.0644,3926.2755999999995,0.24453465055998436,1.668976339176339,1.0043559427504667,Very Cold,Dry,Very Cold-Dry,3,15,0,2,5,0,30,0
2007,Australia,Queensland,Fruits,3.48,1038.9,7.9,2.72,3,31.35,4.37,67.9,67.84,Drought-resistant Crops,302.63,2.186051276738094,6.946879833666187,5.71580985486892,0.5009443208064598,0.7816091954022989,0.6281756542350846,2.6146732767392984,12.1104,4602.265600000001,0.7523430507289429,1.244252606946455,0.4934980494148244,Very Cold,Moderate,Very Cold-Moderate,1,22,4,1,5,2,32,0
1998,China,Central,Fruits,20.92,230.34459999999999,1.14,2.394,6,55.73,22.34,79.13,88.94,No Adaptation,397.94,0.76080582903376,5.4439083468119955,5.988811029642418,3.8791417448895396,0.1144359464627151,0.03636739144520841,7.871668172217264,437.6464000000001,7910.3236,0.5228967167590364,3.1466635883171823,0.9855481142051463,Mild,Very Dry,Mild-Very Dry,4,1,4,2,3,3,21,0
2015,Argentina,Patagonia,Soybeans,5.92,923.08,8.21,1.68,7,95.47,33.95,79.21,99.3502,Drought-resistant Crops,652.4,2.2202898502672155,6.828798647980425,6.48218949916697,0.866916760205077,0.28378378378378377,0.3750489611937864,2.919523997457732,35.0464,9870.462244,0.3074314076610736,0.7566579650840674,1.0921052631578947,Very Cold,Moderate,Very Cold-Moderate,0,17,6,1,5,2,32,0
2024,Argentina,Pampas,Cotton,11.5,2918.72,19.38,3.375,7,24.62,11.84,97.62,71.74,Drought-resistant Crops,549.74,3.0145540277945786,7.9792430002535895,6.311262828459054,1.4412394759295484,0.29347826086956524,0.2621351328517025,2.0935975173337065,132.25,5146.627599999999,0.10055033057969426,1.1195685892115592,1.1816126601356443,Very Cold,Extremely Wet,Very Cold-Extremely Wet,0,16,3,1,5,1,31,0
2000,Brazil,North,Vegetables,29.23,1472.83,22.0,1.485,7,58.58,22.65,50.65,77.93,Organic Farming,533.57,3.1354942159291497,7.295619733669221,6.281462685407433,4.006513643399451,0.05080396852548751,0.10726973027468867,2.0033405430939473,854.3929,6073.084900000001,0.03449411576725591,0.47360954852214454,1.162230671736375,Very Hot,Very Wet,Very Hot-Very Wet,2,8,8,3,6,4,40,0
2013,Australia,Victoria,Sugarcane,4.4,1376.44,26.54,1.548,2,58.78,48.66,11.95,44.55,Crop Rotation,498.33,3.315639493300509,7.227981982909645,6.2132671998193505,0.608745291618556,0.3518181818181818,0.7535544302955701,1.873927250647638,19.360000000000003,1984.7024999999996,0.2556000855963077,0.4668782607783044,0.32926119837114604,Very Cold,Wet,Very Cold-Wet,1,29,7,0,5,5,35,0
2003,Argentina,Northeast,Cotton,28.71,2570.73,28.89,1.242,6,53.14,19.24,54.33,81.98,Crop Rotation,272.5,3.3975239762958465,7.852334103175223,5.611301621862036,3.6562377024164867,0.04326018808777429,0.11833939311375292,1.65158558438777,824.2641000000001,6720.720400000001,0.016827978079290436,0.36556033413312117,0.9870925399256181,Very Hot,Extremely Wet,Very Hot-Extremely Wet,0,11,3,0,6,1,37,0
2014,China,Central,Corn,11.08,966.57,29.36,4.338,4,54.26,47.2,65.79,37.02,No Adaptation,859.52,3.4131259525274293,6.8747877737078875,6.757536857682484,1.6116861152244775,0.39151624548736463,0.30804385853135646,1.9798674152878857,122.7664,1370.4804000000001,0.4050573114077249,1.2709756570183701,0.6570320761367642,Very Cold,Moderate,Very Cold-Moderate,4,1,2,2,5,2,32,0
1994,Australia,Queensland,Vegetables,15.83,1220.3,25.87,4.023,5,63.24,17.76,72.34,62.94,No Adaptation,1660.66,3.2910104226273997,7.107671144177043,7.415572381683672,2.227171133679802,0.2541377132027795,0.20789705765176245,2.2532813420151374,250.5889,3961.4435999999996,0.20825838990639967,1.2224209234768122,0.8224967490247074,Cold,Wet,Cold-Wet,1,22,8,2,0,5,5,0
1991,China,North,Sugarcane,6.48,2810.36,12.68,1.72,7,22.01,33.32,1.69,49.17,Drought-resistant Crops,461.86,2.615934912194404,7.941423631009582,6.137424632551516,0.8159746036840257,0.26543209876543206,0.4036936592892599,2.3461687077692135,41.99040000000001,2417.6889,0.09444772156073673,0.6575087139905786,1.162230671736375,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,8,7,1,5,1,31,0
2020,Australia,Victoria,Corn,7.56,2268.91,1.45,1.84,6,47.38,16.9,84.07,39.34,Crop Rotation,441.09,0.8960880245566356,7.72749546211237,6.09151348125948,0.9783247414464887,0.2433862433862434,0.11853016197839096,6.797896316350646,57.1536,1547.6356000000003,0.10727011798010648,2.0533697020562136,0.987783595113438,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,29,2,0,5,1,31,0
2008,China,North,Rice,10.57,1540.82,6.4,3.77,10,37.36,21.92,15.98,70.26,Crop Rotation,616.37,2.0014800002101243,7.340718815792111,6.425468520022568,1.4399134833036686,0.35666982024597915,0.18935477769253778,3.2103585943142043,111.7249,4936.467600000001,0.23148052351733442,1.8836061312649683,1.6603295310519646,Very Cold,Very Wet,Very Cold-Very Wet,4,8,5,0,5,4,34,0
1990,China,Central,Cotton,22.59,1342.81,0.77,1.13,9,95.31,26.62,7.37,50.57,No Adaptation,466.44,0.5709795465857378,7.20326414204193,6.1472709982461815,3.1360782493249437,0.050022133687472325,0.023489519746001344,10.988803646144989,510.30809999999997,2557.3249,0.03725183286352673,2.1295511457184078,1.4783221713077195,Moderate,Wet,Moderate-Wet,4,1,3,2,4,5,29,0
2013,India,Punjab,Sugarcane,34.62,2793.03,25.97,3.528,9,52.8,31.78,90.37,85.08,Organic Farming,1064.4,3.2947251371516386,7.935240277053465,6.971105594482899,4.3716382603201,0.10170077832228308,0.09497622188387543,2.1158382882614513,1198.5443999999998,7238.6064,0.0364123472795792,1.070802526201027,1.6049535603715168,Very Hot,Extremely Wet,Very Hot-Extremely Wet,6,20,7,3,6,1,37,0
2014,Nigeria,North Central,Cotton,4.13,2683.48,14.62,2.53,4,76.66,11.53,6.85,36.54,No Adaptation,548.17,2.7485521444115397,7.89524231965793,6.308408047492863,0.5230998407378757,0.612590799031477,0.6655089938042469,2.295174956138037,17.0569,1335.1716,0.22828223017554705,0.920484628659526,0.6836363636363636,Very Cold,Extremely Wet,Very Cold-Extremely Wet,7,9,3,2,5,1,31,0
2022,India,Maharashtra,Rice,33.05,358.19,4.06,0.945,0,90.75,6.07,64.58,91.68,Drought-resistant Crops,292.0,1.6213664832993742,5.883851496396862,5.680172609017068,5.433946483181139,0.028593040847201212,0.04905798739181163,3.50332430546997,1092.3024999999998,8405.2224,0.07982646318211344,0.582841701573223,0.0,Very Hot,Very Dry,Very Hot-Very Dry,6,5,5,1,6,3,39,0
2011,Nigeria,South East,Cotton,4.9,466.17,16.66,2.25,0,40.22,29.8,71.37,76.77,Crop Rotation,1052.58,2.8713021951758138,6.14669321712355,6.959949167712834,0.7971765999886747,0.4591836734693877,0.5859800398317987,2.423969577081268,24.010000000000005,5893.6329,0.9850133502142733,0.7836165777953683,0.0,Very Cold,Very Dry,Very Cold-Very Dry,7,25,3,0,5,3,33,0
2022,France,Nouvelle-Aquitaine,Wheat,8.3,1807.01,15.74,1.584,9,20.98,35.43,1.34,52.41,Drought-resistant Crops,720.42,2.8178010650613294,7.499982071910277,6.581221491955391,1.1066693120622295,0.1908433734939759,0.3394941042242565,2.335587694091581,68.89000000000001,2746.8080999999997,0.10561279322968656,0.5621404646482822,1.5079787234042552,Very Cold,Extremely Wet,Very Cold-Extremely Wet,5,14,9,1,5,1,31,0
2002,Canada,Quebec,Fruits,22.73,2348.53,13.39,2.29,3,50.27,0.5199000000000001,91.69,97.34,Organic Farming,861.86,2.6665335208992764,7.761970587135537,6.760252453126343,2.9283800736982997,0.1007479102507699,0.11731339731189074,2.535221252664575,516.6529,9475.0756,0.042898285417163035,0.8587928792388508,0.48901488306165836,Moderate,Extremely Wet,Moderate-Extremely Wet,3,21,4,3,4,1,25,0
1991,USA,West,Soybeans,4.57,2811.62,8.18,2.26,8,39.7,31.1,36.25,65.65,No Adaptation,440.2,2.217027204632399,7.941871712269146,6.089498287379348,0.5754311030912213,0.49452954048140035,0.4851263029830194,2.7466953380885717,20.884900000000002,4309.922500000001,0.17588775882992735,1.019383070842708,1.3062261753494282,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,31,6,2,5,1,31,0
1998,Argentina,Pampas,Corn,29.47,2682.48,4.61,2.78,10,12.64,44.07,81.08,57.48,No Adaptation,577.61,1.724550719534605,7.894869738635878,6.3606286754898145,3.7328038302873887,0.09433322022395656,0.058518857127064984,3.688281593252486,868.4808999999999,3303.9503999999997,0.03516642070917828,1.6120140558986997,1.6880180859080631,Very Hot,Extremely Wet,Very Hot-Extremely Wet,0,16,2,2,6,1,37,0
2016,India,Tamil Nadu,Coffee,34.05,995.19,1.61,3.32,2,65.45,24.97,71.26,34.64,Drought-resistant Crops,1462.01,0.9593502213346021,6.90393800244385,7.288251236266757,4.931967811406622,0.09750367107195301,0.028174749525245294,7.597070469351318,1159.4025,1199.9296,0.09797493048759837,3.4606757012901657,0.33923705722070846,Very Hot,Moderate,Very Hot-Moderate,6,28,1,1,6,2,38,0
2005,USA,West,Corn,14.25,1891.99,8.72,2.86,2,83.29,34.52,94.08,39.48,No Adaptation,1250.34,2.2741856184723477,7.54591286857519,7.131970256114658,1.8884395099953848,0.2007017543859649,0.15959197322612967,3.136054593866203,203.0625,1558.6703999999997,0.10607971204179983,1.2575930375996154,0.32655654383735705,Very Cold,Extremely Wet,Very Cold-Extremely Wet,9,31,2,2,5,1,31,0
2016,Nigeria,North West,Wheat,28.1,1426.45,22.61,1.683,4,43.2,29.04,10.45,31.75,Drought-resistant Crops,186.33,3.1616703510974213,7.2636449146470285,5.232871767472967,3.8685811779340677,0.0598932384341637,0.11251495911378723,1.6550972069737213,789.6100000000001,1008.0625,0.04198761851741294,0.5323135599559985,0.6450824679291386,Very Hot,Very Wet,Very Hot-Very Wet,7,10,9,1,6,4,40,0
2005,Nigeria,North West,Cotton,31.48,533.49,20.01,0.945,3,55.68,19.73,89.84,83.67,Crop Rotation,169.63,3.044998514856909,6.2813130212161825,5.139497469539173,5.011691010091528,0.03001905972045743,0.09672803414412037,1.687848924872362,990.9904,7000.668900000001,0.05626920789603822,0.3103449789512976,0.48381185094685397,Very Hot,Dry,Very Hot-Dry,7,10,3,0,6,0,36,0
1996,Argentina,Patagonia,Soybeans,20.51,2412.56,26.31,1.935,4,74.01,5.8,56.93,64.96,No Adaptation,615.63,3.3072529354856135,7.78885811495313,6.424269168177018,2.6332486350758777,0.09434422233057045,0.16125075258340385,1.9424789375033766,420.66010000000006,4219.801599999999,0.03910544083072357,0.585077717896372,0.6240601503759399,Mild,Extremely Wet,Mild-Extremely Wet,0,17,6,2,3,1,19,0
2024,Brazil,Southeast,Corn,4.5,537.52,17.65,1.2060000000000002,6,16.38,37.18,97.11,66.35,No Adaptation,171.19,2.9258461460898246,6.288824636111034,5.148598518298094,0.7155550139147733,0.268,0.6501880324644055,1.7596955756470012,20.25,4402.322499999999,0.49858609912189317,0.4121884541371833,1.042857142857143,Very Cold,Dry,Very Cold-Dry,2,27,2,2,5,0,30,0
1996,Argentina,Patagonia,Coffee,1.55,402.88,24.81,1.638,8,48.12,18.4,52.29,67.87,Crop Rotation,460.49,3.2507620137305224,6.00111780413612,6.134460385235769,0.25828521461979986,1.056774193548387,2.0972658153100143,1.887083815833064,2.4025000000000003,4606.3369,2.6230495272745906,0.5038818569558272,1.2481203007518797,Very Cold,Very Dry,Very Cold-Very Dry,0,17,1,0,5,3,33,2
2003,Nigeria,South West,Fruits,10.95,1084.58,28.81,4.311,0,76.22,31.57,94.55,33.51,Crop Rotation,1387.25,3.39484390768998,6.98986968535906,7.235799240121716,1.5665528104101576,0.3936986301369863,0.31003140709497534,2.131408523299474,119.90249999999999,1122.9200999999998,0.362996395044152,1.269866926792937,0.0,Very Cold,Moderate,Very Cold-Moderate,7,26,4,0,5,2,32,0
2020,Australia,Victoria,Corn,5.66,1981.4,2.7,1.2,8,55.99,6.11,65.85,85.83,No Adaptation,278.45,1.308332819650179,7.592063510874878,5.6328233857157075,0.7455153650773089,0.21201413427561835,0.23115420841875953,4.30534440557855,32.0356,7366.7889,0.10700218748138607,0.9171978123432347,1.3170447934845841,Very Cold,Extremely Wet,Very Cold-Extremely Wet,1,29,2,2,5,1,31,0
2022,Russia,Northwestern,Barley,7.9,715.63,23.37,1.836,2,98.3,36.1,97.33,47.87,No Adaptation,840.56,3.193352867637115,6.574559668354041,6.735257312336819,1.2016013845042472,0.23240506329113925,0.40422188197938164,2.109149095483612,62.410000000000004,2291.5368999999996,0.3247558980075448,0.5749442908758553,0.34923076923076923,Very Cold,Dry,Very Cold-Dry,8,13,0,2,5,0,30,0
1994,Nigeria,North West,Corn,14.7,1249.56,20.06,2.3760000000000003,9,98.93020000000001,20.13,16.93,72.22,Organic Farming,605.89,3.0473755067058295,7.131346729974308,6.4083475555269525,2.0613217329923543,0.1616326530612245,0.2073044562384918,2.1029070888786814,216.08999999999997,5215.7284,0.12935165423126904,0.7796873062645382,1.4514355528405618,Very Cold,Wet,Very Cold-Wet,7,10,2,3,5,5,35,0
2011,USA,South,Soybeans,13.72,445.0,27.91,1.53,7,40.04,30.52,65.4,48.86,Water Management,453.23,3.364187556028255,6.100318952020064,6.11860367768839,2.2490627306391495,0.11151603498542274,0.2452031746376279,1.818746302275723,188.2384,2387.2996,0.25059783142791625,0.45479033927772783,1.184736251402918,Very Cold,Very Dry,Very Cold-Very Dry,9,24,6,4,5,3,33,0
2000,Nigeria,North West,Corn,16.96,1316.09,11.67,4.32,8,12.36,32.36,39.01,63.89,Drought-resistant Crops,1897.4970000000005,2.5392369943330477,7.183180036538246,7.548817789473194,2.361071268397924,0.25471698113207547,0.1497191624017127,2.993903913987479,287.64160000000004,4081.9321,0.19354070096427714,1.7012984647125011,1.2901649358582772,Cold,Wet,Cold-Wet,7,10,2,1,0,5,5,0
2001,Argentina,Northwest,Sugarcane,20.0,2710.76,14.8,1.2,6,24.91,30.9,56.14,61.56,No Adaptation,546.37,2.760009940032921,7.905353149569101,6.305124990574248,2.529931253114245,0.06,0.13800049700164604,2.2844573489105047,400.0,3789.6336,0.02213401407723295,0.4347810428485944,0.9769281476598549,Mild,Extremely Wet,Mild-Extremely Wet,0,12,7,2,3,1,19,0
2010,Brazil,Southeast,Fruits,16.41,1102.22,20.76,3.762,7,29.65,10.06,4.64,36.83,Drought-resistant Crops,891.39,3.080073421987742,7.005988455393805,6.793903256758255,2.3422819070399963,0.22925045703839123,0.1876949068852981,2.205760164111209,269.2881,1356.4488999999999,0.20798974527625266,1.2213994553325203,1.2166666666666668,Cold,Wet,Cold-Wet,2,27,4,1,0,5,5,0
2019,Canada,Prairies,Sugarcane,2.2,230.34459999999999,2.74,0.846,1,45.06,31.02,73.08,37.46,Water Management,216.43,1.3190856114264407,5.4439083468119955,5.381876959646967,0.4061763145786564,0.3845454545454545,0.5995843688302003,4.080005810863998,4.840000000000001,1403.2516,1.7162610664351265,0.6413533683269788,0.1600790513833992,Very Cold,Very Dry,Very Cold-Very Dry,3,18,7,4,5,3,33,0
2001,Canada,Prairies,Barley,9.9,230.34459999999999,1.87,2.403,8,44.94,24.12,88.16,31.08,Water Management,416.54,1.0543120297715298,5.4439083468119955,6.034380348084814,1.85069451863221,0.2427272727272727,0.10649616462338685,5.723524134873495,98.01,965.9663999999999,1.1587686672424344,2.279211402454292,1.2806324110671936,Very Cold,Very Dry,Very Cold-Very Dry,3,18,0,4,5,3,33,0
1999,Australia,New South Wales,Fruits,16.7,2781.24,23.73,3.6,8,49.09,7.24,98.8,61.21,Drought-resistant Crops,625.18,3.208017081533325,7.931011637633759,6.439637869704516,2.1056582392032013,0.2155688622754491,0.1920968312295404,2.007357724737109,278.89,3746.6641,0.07750818421835194,1.1221885384348766,1.3714285714285714,Cold,Extremely Wet,Cold-Extremely Wet,1,7,4,1,0,1,1,0
2009,France,Nouvelle-Aquitaine,Wheat,34.28,2646.47,14.34,1.67,5,87.2,46.57,86.16,36.27,Crop Rotation,506.17,2.73046379593911,7.881359745966601,6.2288462531087045,4.349503271633208,0.04871645274212368,0.07965180268200438,2.2812411072333476,1175.1184,1315.5129000000002,0.018408088035051857,0.6116177048323117,0.8377659574468085,Very Hot,Extremely Wet,Very Hot-Extremely Wet,5,14,9,0,6,1,37,0
1998,Russia,Volga,Sugarcane,10.18,739.8,3.88,2.8,7,32.6,13.37,77.41,44.11,Water Management,329.97,1.5851452198650557,6.60773068333197,5.8020277368284265,1.540619690460311,0.27504911591355596,0.15571171118517246,3.6602499658184984,103.63239999999999,1945.6921,0.37178847785017033,1.7663996742445878,1.1964636542239686,Very Cold,Dry,Very Cold-Dry,8,30,7,4,5,0,30,0
2024,France,Grand Est,Coffee,15.33,1464.84,14.19,3.48,2,31.59,5.17,63.0,88.54,Drought-resistant Crops,1385.83,2.7206373166076814,7.29018373597192,7.234775846112221,2.1028276591106,0.22700587084148727,0.17747144922424535,2.659220985446581,235.0089,7839.331600000001,0.15496973788365098,1.2791120590594396,0.35107118175535595,Cold,Very Wet,Cold-Very Wet,5,3,1,1,0,4,4,0
